Issue Type,Summary,Description,Epic Link,Status,Priority,Story Points,Labels,Component,Sprint,Dependencies
Sub-task,Table vectorisation,Créer la table context_vectors pour stocker les embeddings du contexte. **Critères:** Colonne vector avec pgvector,Étape 7 – Contexte Entreprise (Kernel),À faire,Low,1,database,apps/api,13,
Task,7.2 API backend contexte,Créer les endpoints CRUD pour gérer le contexte entreprise. **Fichier:** apps/api/api/v1/context.py,Étape 7 – Contexte Entreprise (Kernel),À faire,High,8,backend ai,apps/api,14,7.1
Sub-task,CRUD blocs identité,"Endpoints POST/GET/PUT/DELETE pour les blocs identité. **Critères:** CRUD complet, validation Pydantic",Étape 7 – Contexte Entreprise (Kernel),À faire,Low,2,backend,apps/api,14,
Sub-task,CRUD vocabulaire,Endpoints pour gérer les termes du vocabulaire. **Critères:** CRUD avec import CSV/XLSX,Étape 7 – Contexte Entreprise (Kernel),À faire,Low,2,backend,apps/api,14,
Sub-task,CRUD style,Endpoints pour configurer le style de communication. **Critères:** GET/PUT uniquement (une config par tenant),Étape 7 – Contexte Entreprise (Kernel),À faire,Low,1,backend,apps/api,14,
Sub-task,CRUD règles globales,Endpoints pour gérer les règles globales. **Critères:** CRUD avec activation/désactivation,Étape 7 – Contexte Entreprise (Kernel),À faire,Low,2,backend,apps/api,14,
Sub-task,Endpoint vectorisation,"Endpoint POST /context/reindex pour relancer la vectorisation. **Critères:** Vectorisation async, statut retourné",Étape 7 – Contexte Entreprise (Kernel),À faire,Low,1,backend ai,apps/api,14,
Task,7.3 Vectorisation et injection,Implémenter la vectorisation du contexte et son injection dans les prompts. **Fichier:** apps/api/core/context/injector.py,Étape 7 – Contexte Entreprise (Kernel),À faire,High,8,backend ai,apps/api,14,7.2
Sub-task,Vectoriser le contexte,"Vectoriser tous les blocs actifs du contexte dans un index dédié. **Critères:** Embeddings générés, stockés dans context_vectors",Étape 7 – Contexte Entreprise (Kernel),À faire,Low,3,backend ai,apps/api,14,
Sub-task,Consolider le contexte,Créer une fonction qui consolide tout le contexte en texte formaté. **Critères:** Texte structuré avec ordre et importance,Étape 7 – Contexte Entreprise (Kernel),À faire,Low,2,backend,apps/api,14,
Sub-task,Injecter dans prompts,Modifier le client LLM pour injecter automatiquement le contexte avant les instructions. **Critères:** Contexte toujours en premier,Étape 7 – Contexte Entreprise (Kernel),À faire,Low,3,backend ai,apps/api,14,
Task,7.4 Interface admin contexte,Créer les pages admin pour gérer le contexte entreprise. **Dossier:** apps/admin/app/context/,Étape 7 – Contexte Entreprise (Kernel),À faire,High,13,frontend,apps/admin,15,7.2
Sub-task,Page vue d'ensemble,"Créer la page d'accueil avec résumé et indicateurs. **Critères:** Encart résumé, stats, état vectorisation",Étape 7 – Contexte Entreprise (Kernel),À faire,Low,2,frontend,apps/admin,15,
Sub-task,Page identité,"Créer la page pour gérer les blocs identité (mission, vision, valeurs). **Critères:** Cards avec CRUD, drag & drop pour order",Étape 7 – Contexte Entreprise (Kernel),À faire,Low,3,frontend,apps/admin,15,
Sub-task,Page vocabulaire,"Créer la page pour gérer le glossaire avec import CSV. **Critères:** Table avec filtres, import fonctionnel",Étape 7 – Contexte Entreprise (Kernel),À faire,Low,3,frontend,apps/admin,15,
Sub-task,Page style,"Créer la page pour configurer le ton et le style. **Critères:** Form avec dropdowns, textarea, sauvegarde",Étape 7 – Contexte Entreprise (Kernel),À faire,Low,2,frontend,apps/admin,15,
Sub-task,Page règles globales,"Créer la page pour gérer les règles des agents. **Critères:** Table avec toggle activation, CRUD",Étape 7 – Contexte Entreprise (Kernel),À faire,Low,3,frontend,apps/admin,15,
Task,7.5 Tests contexte,Créer des tests pour valider l'injection et la vectorisation du contexte.,Étape 7 – Contexte Entreprise (Kernel),À faire,High,5,backend tests,apps/api,15,7.3
Sub-task,Tester vectorisation,"Vérifier que le contexte est bien vectorisé. **Critères:** Embeddings créés, dimensions correctes",Étape 7 – Contexte Entreprise (Kernel),À faire,Low,2,backend tests,apps/api,15,
Sub-task,Tester injection,Vérifier que le contexte est bien injecté dans les prompts. **Critères:** Contexte présent en premier,Étape 7 – Contexte Entreprise (Kernel),À faire,Low,2,backend tests,apps/api,15,
Sub-task,Tester isolation tenant,Vérifier que le contexte est isolé par tenant. **Critères:** Pas de leak cross-tenant,Étape 7 – Contexte Entreprise (Kernel),À faire,Low,1,backend tests,apps/api,15,
Epic,Étape 8 – Mémoire IA (mem0),Implémenter le système de mémoire longue durée utilisateur avec mem0. **Référence:** MEMOIRE_BY_USER.md,,À faire,High,,,backend ai,0,
Task,8.1 Configuration mem0,Installer et configurer mem0 avec les backends (Postgres/Qdrant/Redis). **Référence:** MEMOIRE_BY_USER.md,Étape 8 – Mémoire IA (mem0),À faire,High,5,backend ai,apps/api,15,
Sub-task,Installer mem0,"Installer les dépendances mem0 et ses connecteurs. **Packages:** mem0, mem0-postgres, mem0-qdrant. **Critères:** Packages installés",Étape 8 – Mémoire IA (mem0),À faire,Low,1,backend ai,apps/api,15,
Sub-task,Configurer backend Postgres,"Configurer mem0 pour utiliser Postgres comme backend. **Critères:** Connexion établie, tables créées",Étape 8 – Mémoire IA (mem0),À faire,Low,2,backend database,apps/api,15,
Sub-task,Configurer backend Qdrant,"Configurer mem0 pour utiliser Qdrant (optionnel). **Critères:** Connexion établie, collections créées",Étape 8 – Mémoire IA (mem0),À faire,Low,2,backend ai,apps/api,15,
Task,8.2 Paramètres globaux mémoire,Créer l'API pour configurer les paramètres globaux de mémoire. **Fichier:** apps/api/api/v1/memory/settings.py,Étape 8 – Mémoire IA (mem0),À faire,High,8,backend ai,apps/api,16,8.1
Sub-task,API activation mémoire,"Endpoint pour activer/désactiver la mémoire globale. **Critères:** Switch fonctionnel, impact immédiat",Étape 8 – Mémoire IA (mem0),À faire,Low,1,backend,apps/api,16,
Sub-task,API modes mémoire,"Endpoints pour configurer les modes mem0 (conversationnelle, personnelle, contextuelle). **Critères:** Config sauvegardée",Étape 8 – Mémoire IA (mem0),À faire,Low,2,backend,apps/api,16,
Sub-task,API profondeur et consolidation,Endpoints pour configurer profondeur et politique de consolidation. **Critères:** Paramètres appliqués,Étape 8 – Mémoire IA (mem0),À faire,Low,2,backend,apps/api,16,
Sub-task,API filtrage,Endpoints pour configurer le filtrage des mémoires. **Critères:** Règles de filtrage appliquées,Étape 8 – Mémoire IA (mem0),À faire,Low,2,backend,apps/api,16,
Sub-task,API réglages embeddings,Endpoints pour configurer le modèle embeddings utilisé. **Critères:** Modèle changeable,Étape 8 – Mémoire IA (mem0),À faire,Low,1,backend ai,apps/api,16,
Task,8.3 Monitoring mémoire,Créer les endpoints pour monitorer l'usage de la mémoire. **Fichier:** apps/api/api/v1/memory/monitoring.py,Étape 8 – Mémoire IA (mem0),À faire,High,5,backend ai,apps/api,17,8.2
Sub-task,Métriques mémoire,"Endpoint GET /memory/metrics pour récupérer les stats. **Critères:** Nombre mémoires, taille, coût estimé",Étape 8 – Mémoire IA (mem0),À faire,Low,2,backend,apps/api,17,
Sub-task,Journal opérations,"Endpoint GET /memory/operations pour lister les opérations mem0. **Critères:** Table avec type, date, utilisateur",Étape 8 – Mémoire IA (mem0),À faire,Low,2,backend,apps/api,17,
Sub-task,Latence recherche,Endpoint pour mesurer la latence de recherche mémoire. **Critères:** Temps moyen de récupération,Étape 8 – Mémoire IA (mem0),À faire,Low,1,backend,apps/api,17,
Task,8.4 Maintenance mémoire,Créer les endpoints pour purger et exporter les mémoires. **Fichier:** apps/api/api/v1/memory/maintenance.py,Étape 8 – Mémoire IA (mem0),À faire,High,5,backend ai,apps/api,16,8.2
Sub-task,Purge partielle,"Endpoints pour purger les mémoires anciennes (30j, 90j, 6 mois). **Critères:** Purge avec confirmation",Étape 8 – Mémoire IA (mem0),À faire,Low,2,backend,apps/api,16,
Sub-task,Purge totale,Endpoint pour réinitialiser la mémoire complète. **Critères:** Double confirmation obligatoire,Étape 8 – Mémoire IA (mem0),À faire,Low,1,backend,apps/api,16,
Sub-task,Export mémoire,"Endpoint pour exporter les mémoires (JSON, CSV). **Critères:** Export fonctionnel, téléchargement",Étape 8 – Mémoire IA (mem0),À faire,Low,2,backend,apps/api,16,
Task,8.5 Interface admin mémoire,Créer les pages admin pour configurer et monitorer la mémoire. **Dossier:** apps/admin/app/memory/,Étape 8 – Mémoire IA (mem0),À faire,High,13,frontend,apps/admin,16,8.3
Sub-task,Page paramètres généraux,"Créer la page pour configurer les paramètres globaux. **Critères:** Switch activation, dropdowns modes, sliders",Étape 8 – Mémoire IA (mem0),À faire,Low,3,frontend,apps/admin,16,
Sub-task,Page configuration backend,Créer la page pour choisir le backend (Postgres/Qdrant/Redis). **Critères:** Cards avec stats par backend,Étape 8 – Mémoire IA (mem0),À faire,Low,3,frontend,apps/admin,16,
Sub-task,Page monitoring,"Créer le dashboard de monitoring avec charts. **Critères:** Charts Recharts, métriques temps réel",Étape 8 – Mémoire IA (mem0),À faire,Low,4,frontend,apps/admin,16,
Sub-task,Page maintenance,"Créer la page pour purger et exporter les mémoires. **Critères:** Boutons purge, export fonctionnel",Étape 8 – Mémoire IA (mem0),À faire,Low,3,frontend,apps/admin,16,
Epic,Étape 9 – Events, Notifications & Webhooks,"Implémenter le bus d'événements interne, les webhooks sortants et le SDK events. **Référence:** EVENTS_NOTIFS_WEBHOOK.md,",À faire,High,,,backend,0,
Task,9.1 Event bus interne,Implémenter le bus d'événements avec Redis Streams. **Fichier:** apps/api/core/events/bus.py,"Étape 9 – Events, Notifications & Webhooks",À faire,High,8,backend infrastructure,apps/api,17,
Sub-task,Connexion Redis Streams,"Configurer la connexion à Redis Streams pour le bus. **Critères:** Connexion établie, stream créé","Étape 9 – Events, Notifications & Webhooks",À faire,Low,2,backend infrastructure,apps/api,17,
Sub-task,Publisher événements,Créer la fonction publish() pour émettre des événements. **Critères:** Events publiés dans Redis,"Étape 9 – Events, Notifications & Webhooks",À faire,Low,2,backend,apps/api,17,
Sub-task,Subscriber événements,Créer la fonction subscribe() pour écouter des événements. **Critères:** Consumer groups fonctionnels,"Étape 9 – Events, Notifications & Webhooks",À faire,Low,2,backend,apps/api,17,
Sub-task,Schemas événements,"Créer les schemas Pydantic pour les événements (document.*, conversation.*, etc.). **Critères:** 20+ événements définis","Étape 9 – Events, Notifications & Webhooks",À faire,Low,2,backend,apps/api,17,
Task,9.2 Registry webhooks,Créer le système de registry pour gérer les webhooks sortants. **Fichier:** apps/api/core/webhooks/registry.py,"Étape 9 – Events, Notifications & Webhooks",À faire,High,5,backend,apps/api,17,9.1
Sub-task,Table webhooks,"Créer la table webhooks (id, tenant_id, url, secret, events, is_active, retry_config). **Critères:** Table créée","Étape 9 – Events, Notifications & Webhooks",À faire,Low,1,database,apps/api,17,
Sub-task,API CRUD webhooks,Créer les endpoints POST/GET/PUT/DELETE /webhooks. **Critères:** CRUD complet avec validation,"Étape 9 – Events, Notifications & Webhooks",À faire,Low,2,backend,apps/api,17,
Sub-task,Matching événements,Créer la logique de matching événements → webhooks (avec wildcards). **Critères:** Wildcards fonctionnels,"Étape 9 – Events, Notifications & Webhooks",À faire,Low,2,backend,apps/api,17,
Task,9.3 Notification engine,Créer le moteur de notification qui dispatch les événements. **Fichier:** apps/api/core/events/engine.py,"Étape 9 – Events, Notifications & Webhooks",À faire,High,8,backend,apps/api,17,9.2
Sub-task,Workers asynchrones,"Créer les workers Celery/ARQ pour traiter les événements. **Critères:** Workers démarrés, queues séparées","Étape 9 – Events, Notifications & Webhooks",À faire,Low,3,backend,apps/api,17,
Sub-task,Dispatcher webhooks,"Créer la logique de dispatch vers les webhooks HTTP. **Critères:** POST signé HMAC, retry logic","Étape 9 – Events, Notifications & Webhooks",À faire,Low,3,backend,apps/api,17,
Sub-task,Dead letter queue,"Créer la DLQ pour les événements échoués. **Critères:** Events en échec sauvegardés, rejouables","Étape 9 – Events, Notifications & Webhooks",À faire,Low,2,backend,apps/api,17,
Task,9.4 Channels de livraison,Implémenter les channels WebSocket SSE et HTTP webhooks. **Fichier:** apps/api/core/events/channels/,"Étape 9 – Events, Notifications & Webhooks",À faire,High,8,backend,apps/api,18,9.3
Sub-task,WebSocket SSE,"Créer l'endpoint GET /events/stream pour streaming temps réel. **Critères:** SSE fonctionnel, events en temps réel","Étape 9 – Events, Notifications & Webhooks",À faire,Low,3,backend,apps/api,18,
Sub-task,HTTP webhooks,"Implémenter l'envoi HTTP POST avec signature HMAC. **Headers:** X-Webhook-Signature, X-Webhook-Timestamp. **Critères:** Signature vérifiable","Étape 9 – Events, Notifications & Webhooks",À faire,Low,3,backend security,apps/api,18,
Sub-task,Retry strategy,"Implémenter la stratégie de retry (immédiat, 1min, 5min, 15min, 1h). **Critères:** Retry automatique avec backoff","Étape 9 – Events, Notifications & Webhooks",À faire,Low,2,backend,apps/api,18,
Task,9.5 SDK events,Créer les endpoints pour permettre aux développeurs de créer et utiliser des événements custom. **Fichier:** apps/api/api/v1/events.py,"Étape 9 – Events, Notifications & Webhooks",À faire,High,8,backend,apps/api,18,9.1
Sub-task,Endpoint define,"POST /events/define pour déclarer un événement custom. **Critères:** Event enregistré, visible dans catalog","Étape 9 – Events, Notifications & Webhooks",À faire,Low,2,backend,apps/api,18,
Sub-task,Endpoint emit,POST /events/emit pour émettre un événement custom. **Critères:** Event émis dans le bus,"Étape 9 – Events, Notifications & Webhooks",À faire,Low,2,backend,apps/api,18,
Sub-task,Endpoint subscribe,"POST /webhooks pour s'abonner à des événements. **Critères:** Webhook créé, matching fonctionnel","Étape 9 – Events, Notifications & Webhooks",À faire,Low,2,backend,apps/api,18,
Sub-task,Endpoint GET events,GET /events pour lister les événements disponibles. **Critères:** Catalog complet avec core + custom,"Étape 9 – Events, Notifications & Webhooks",À faire,Low,2,backend,apps/api,18,
Task,9.6 Monitoring events,Créer le monitoring et l'observabilité du système d'événements. **Fichier:** apps/api/core/events/monitoring.py,"Étape 9 – Events, Notifications & Webhooks",À faire,High,5,backend devops,apps/api,18,9.3
Sub-task,Métriques Prometheus,"Exposer les métriques événements dans /metrics. **Métriques:** events_published, webhooks_delivered, latency. **Critères:** Métriques exposées","Étape 9 – Events, Notifications & Webhooks",À faire,Low,2,backend devops,apps/api,18,
Sub-task,Logs structurés,"Journaliser tous les événements avec payload. **Critères:** Logs JSON avec id, type, tenant, status","Étape 9 – Events, Notifications & Webhooks",À faire,Low,2,backend,apps/api,18,
Sub-task,Alertes,Configurer des alertes sur taux d'échec et saturation. **Critères:** Alertes configurées dans Prometheus,"Étape 9 – Events, Notifications & Webhooks",À faire,Low,1,devops,tools,18,
Task,9.7 Interface admin webhooks,Créer les pages admin pour gérer les webhooks et voir les logs. **Dossier:** apps/admin/app/webhooks/,"Étape 9 – Events, Notifications & Webhooks",À faire,High,8,frontend,apps/admin,19,9.2
Sub-task,Page liste webhooks,"Afficher la table des webhooks avec statut. **Critères:** Table avec filtres, toggle activation","Étape 9 – Events, Notifications & Webhooks",À faire,Low,3,frontend,apps/admin,19,
Sub-task,Modal création webhook,"Créer le modal pour créer/éditer un webhook. **Critères:** Form avec URL, events, secret HMAC","Étape 9 – Events, Notifications & Webhooks",À faire,Low,2,frontend,apps/admin,19,
Sub-task,Page logs webhooks,"Afficher les logs de livraison par webhook. **Critères:** Table avec status, retry count, timestamp","Étape 9 – Events, Notifications & Webhooks",À faire,Low,2,frontend,apps/admin,19,
Sub-task,Bouton test webhook,"Ajouter un bouton pour tester un webhook. **Endpoint:** POST /webhooks/{id}/test. **Critères:** Test fonctionnel, résultat affiché","Étape 9 – Events, Notifications & Webhooks",À faire,Low,1,frontend backend,apps/admin,19,
Epic,Étape 10 – Intégrations & Connecteurs,"Implémenter le framework de connecteurs génériques avec OAuth2 unifié et connecteurs de base. **Référence:** INTEGRATIONS.md, INTEGRATIONS_AUTH.md",,À faire,High,,,backend,0,
Task,10.1 Framework connecteurs,Créer le framework BaseConnector et les modules de base. **Dossier:** integrations/base/,Étape 10 – Intégrations & Connecteurs,À faire,High,8,backend,integrations,19,
Sub-task,Classe BaseConnector,"Créer la classe BaseConnector avec méthodes connect, pull, normalize, sync. **Critères:** Classe abstraite complète",Étape 10 – Intégrations & Connecteurs,À faire,Low,3,backend,integrations,19,
Sub-task,Module scheduler,Créer le scheduler pour lancer les syncs selon fréquence. **Lib:** Celery beat. **Critères:** Tasks planifiées,Étape 10 – Intégrations & Connecteurs,À faire,Low,2,backend,integrations,19,
Sub-task,Module sync_state,"Créer le module pour stocker le state de sync (cursor, last_sync). **Critères:** State persisté en DB",Étape 10 – Intégrations & Connecteurs,À faire,Low,1,backend,integrations,19,
Sub-task,Module normalizer,Créer le normalizer pour transformer en DocumentEnvelope. **Critères:** Format uniforme,Étape 10 – Intégrations & Connecteurs,À faire,Low,1,backend,integrations,19,
Sub-task,Module logger,Créer le logger pour tracer les erreurs et syncs. **Critères:** Logs structurés,Étape 10 – Intégrations & Connecteurs,À faire,Low,1,backend,integrations,19,
Task,10.2 Module OAuth2 unifié,Créer le module OAuth2 générique avec Authlib et Fernet. **Dossier:** integrations/base/oauth/,Étape 10 – Intégrations & Connecteurs,À faire,High,8,backend security,integrations,19,10.1
Sub-task,Classe OAuthClient,"Créer la classe OAuthClient avec build_authorize_url, exchange_code, refresh_token. **Critères:** Classe complète",Étape 10 – Intégrations & Connecteurs,À faire,Low,3,backend security,integrations,19,
Sub-task,Module token_store,Créer le module pour stocker les tokens chiffrés avec Fernet. **Critères:** Tokens chiffrés en DB,Étape 10 – Intégrations & Connecteurs,À faire,Low,2,backend security,integrations,19,
Sub-task,Module oauth_state,"Créer le module pour gérer state CSRF et PKCE. **Critères:** State sécurisé, expiration gérée",Étape 10 – Intégrations & Connecteurs,À faire,Low,2,backend security,integrations,19,
Sub-task,Gestion erreurs OAuth,"Implémenter la gestion des erreurs (invalid_grant, token_expired, etc.). **Critères:** Erreurs standardisées",Étape 10 – Intégrations & Connecteurs,À faire,Low,1,backend,integrations,19,
Task,10.3 Connecteur Google Drive,Créer le connecteur Google Drive avec OAuth2 et sync incrémentale. **Dossier:** integrations/google-drive/,Étape 10 – Intégrations & Connecteurs,À faire,High,8,backend,integrations,20,10.2
Sub-task,Manifest Google Drive,Créer le manifest.json avec config OAuth et scopes. **Critères:** Manifest valide,Étape 10 – Intégrations & Connecteurs,À faire,Low,1,backend,integrations,20,
Sub-task,Implémentation connecteur,"Créer connector.py qui hérite de BaseConnector. **Critères:** Méthodes connect, pull, normalize implémentées",Étape 10 – Intégrations & Connecteurs,À faire,Low,3,backend,integrations,20,
Sub-task,Sync incrémentale,Implémenter la sync incrémentale avec modifiedTime. **Critères:** Seuls nouveaux fichiers récupérés,Étape 10 – Intégrations & Connecteurs,À faire,Low,2,backend,integrations,20,
Sub-task,Tests connecteur,"Créer des tests pour le connecteur Google Drive. **Critères:** Tests OAuth, sync, normalize",Étape 10 – Intégrations & Connecteurs,À faire,Low,2,backend tests,integrations,20,
Task,10.4 Connecteur Notion,Créer le connecteur Notion avec OAuth2 et sync pages. **Dossier:** integrations/notion/,Étape 10 – Intégrations & Connecteurs,À faire,High,8,backend,integrations,20,10.2
Sub-task,Manifest Notion,Créer le manifest.json avec config OAuth. **Critères:** Manifest valide,Étape 10 – Intégrations & Connecteurs,À faire,Low,1,backend,integrations,20,
Sub-task,Implémentation connecteur,"Créer connector.py avec sync pages Notion. **Critères:** Pages récupérées, normalisées",Étape 10 – Intégrations & Connecteurs,À faire,Low,3,backend,integrations,20,
Sub-task,Sync databases,Implémenter la sync des databases Notion. **Critères:** Databases récupérées,Étape 10 – Intégrations & Connecteurs,À faire,Low,2,backend,integrations,20,
Sub-task,Tests connecteur,"Créer des tests pour le connecteur Notion. **Critères:** Tests OAuth, sync, normalize",Étape 10 – Intégrations & Connecteurs,À faire,Low,2,backend tests,integrations,20,
Task,10.5 Connecteur Slack,Créer le connecteur Slack avec OAuth2 et sync messages. **Dossier:** integrations/slack/,Étape 10 – Intégrations & Connecteurs,À faire,High,8,backend,integrations,21,10.2
Sub-task,Manifest Slack,Créer le manifest.json avec config OAuth. **Critères:** Manifest valide,Étape 10 – Intégrations & Connecteurs,À faire,Low,1,backend,integrations,21,
Sub-task,Implémentation connecteur,Créer connector.py avec sync channels Slack. **Critères:** Messages récupérés,Étape 10 – Intégrations & Connecteurs,À faire,Low,3,backend,integrations,21,
Sub-task,Sync threads,Implémenter la sync des threads Slack. **Critères:** Threads récupérés avec contexte,Étape 10 – Intégrations & Connecteurs,À faire,Low,2,backend,integrations,21,
Sub-task,Tests connecteur,"Créer des tests pour le connecteur Slack. **Critères:** Tests OAuth, sync, normalize",Étape 10 – Intégrations & Connecteurs,À faire,Low,2,backend tests,integrations,21,
Task,10.6 API et loader intégrations,Créer les endpoints pour gérer les intégrations et lancer les syncs. **Fichier:** apps/api/api/v1/integrations.py,Étape 10 – Intégrations & Connecteurs,À faire,High,5,backend,apps/api,21,10.3
Sub-task,Endpoints CRUD,POST/GET/PUT/DELETE /integrations pour gérer les intégrations. **Critères:** CRUD complet,Étape 10 – Intégrations & Connecteurs,À faire,Low,2,backend,apps/api,21,
Sub-task,Endpoint OAuth callback,POST /integrations/{service}/callback pour gérer le retour OAuth. **Critères:** Token stocké chiffré,Étape 10 – Intégrations & Connecteurs,À faire,Low,1,backend,apps/api,21,
Sub-task,Endpoint sync manuel,POST /integrations/{id}/sync pour lancer une sync manuelle. **Critères:** Sync lancée async,Étape 10 – Intégrations & Connecteurs,À faire,Low,1,backend,apps/api,21,
Sub-task,Endpoint statut,GET /integrations/{id}/status pour voir le statut de sync. **Critères:** Statut temps réel,Étape 10 – Intégrations & Connecteurs,À faire,Low,1,backend,apps/api,21,
Task,10.7 Interface admin intégrations,Créer les pages admin pour gérer les intégrations. **Dossier:** apps/admin/app/integrations/,Étape 10 – Intégrations & Connecteurs,À faire,High,13,frontend,apps/admin,22,10.6
Sub-task,Page catalogue intégrations,"Afficher le catalogue des intégrations disponibles avec cards. **Critères:** Cards avec logo, description, bouton connecter",Étape 10 – Intégrations & Connecteurs,À faire,Low,3,frontend,apps/admin,22,
Sub-task,Page intégrations actives,"Afficher la liste des intégrations connectées avec statut. **Critères:** Table avec dernière sync, prochain run",Étape 10 – Intégrations & Connecteurs,À faire,Low,3,frontend,apps/admin,22,
Sub-task,Page détail intégration,"Afficher les détails d'une intégration (config, logs, stats). **Critères:** Config éditable, logs visibles",Étape 10 – Intégrations & Connecteurs,À faire,Low,4,frontend,apps/admin,22,
Sub-task,Flux OAuth,"Implémenter le flux OAuth complet depuis l'admin. **Critères:** Popup OAuth, callback géré, token stocké",Étape 10 – Intégrations & Connecteurs,À faire,Low,3,frontend,apps/admin,22,
Epic,Étape 11 – Interface Admin Complète,"Finaliser l'interface admin avec toutes les fonctionnalités (dashboard, contexte, mémoire, webhooks, intégrations, permissions).",,À faire,High,,,frontend,0,
Task,11.1 Dashboard principal,Créer le dashboard principal avec vue d'ensemble de toutes les fonctionnalités. **Page:** apps/admin/app/page.tsx,Étape 11 – Interface Admin Complète,À faire,High,13,frontend,apps/admin,26,
Sub-task,Cards métriques globales,"Afficher les métriques clés (nb utilisateurs, documents, intégrations, coût IA). **Critères:** 6+ cards avec stats",Étape 11 – Interface Admin Complète,À faire,Low,3,frontend,apps/admin,26,
Sub-task,Charts usage IA,"Afficher les charts d'usage IA (tokens, coûts, latence). **Lib:** Recharts. **Critères:** 3+ charts temps réel",Étape 11 – Interface Admin Complète,À faire,Low,3,frontend,apps/admin,26,
Sub-task,Timeline activité récente,"Afficher la timeline des événements récents. **Critères:** 10 derniers events, temps réel via SSE",Étape 11 – Interface Admin Complète,À faire,Low,3,frontend,apps/admin,26,
Sub-task,Alertes et notifications,"Afficher les alertes système (quotas, erreurs, etc.). **Critères:** Alertes visibles, dismissables",Étape 11 – Interface Admin Complète,À faire,Low,2,frontend,apps/admin,26,
Sub-task,Liens rapides,Ajouter des liens rapides vers les sections principales. **Critères:** Navigation rapide,Étape 11 – Interface Admin Complète,À faire,Low,2,frontend,apps/admin,26,
Task,11.2 Navigation et layout,Finaliser la navigation et le layout global de l'admin. **Fichier:** apps/admin/components/app-sidebar.tsx,Étape 11 – Interface Admin Complète,À faire,High,5,frontend,apps/admin,22,11.1
Sub-task,Menu de navigation complet,"Compléter le menu avec toutes les sections (Contexte, Mémoire, Webhooks, etc.). **Critères:** Menu structuré, icons",Étape 11 – Interface Admin Complète,À faire,Low,2,frontend,apps/admin,22,
Sub-task,Breadcrumbs,Ajouter des breadcrumbs pour la navigation. **Critères:** Breadcrumbs sur toutes les pages,Étape 11 – Interface Admin Complète,À faire,Low,1,frontend,apps/admin,22,
Sub-task,Search globale,Ajouter une recherche globale (Cmd+K). **Lib:** cmdk. **Critères:** Recherche fonctionnelle,Étape 11 – Interface Admin Complète,À faire,Low,2,frontend,apps/admin,22,
Task,11.3 Gestion tenants,"Créer les pages pour gérer les tenants (liste, création, suspension). **Dossier:** apps/admin/app/tenants/",Étape 11 – Interface Admin Complète,À faire,High,8,frontend,apps/admin,23,
Sub-task,Page liste tenants,"Afficher la table des tenants avec statut et plan. **Critères:** Table paginée, recherche, filtres",Étape 11 – Interface Admin Complète,À faire,Low,3,frontend,apps/admin,23,
Sub-task,Modal création tenant,"Créer le modal pour créer un nouveau tenant. **Critères:** Form validé, tenant créé",Étape 11 – Interface Admin Complète,À faire,Low,2,frontend,apps/admin,23,
Sub-task,Page détail tenant,"Afficher les détails d'un tenant (config, usage, stats). **Critères:** Toutes les infos visibles",Étape 11 – Interface Admin Complète,À faire,Low,2,frontend,apps/admin,23,
Sub-task,Actions tenant,Ajouter les actions suspendre/activer/supprimer. **Critères:** Actions avec confirmation,Étape 11 – Interface Admin Complète,À faire,Low,1,frontend,apps/admin,23,
Task,11.4 Système de notifications,"Implémenter le système de notifications temps réel dans l'admin. **Lib:** Sonner, SSE",Étape 11 – Interface Admin Complète,À faire,High,5,frontend,apps/admin,23,9.4
Sub-task,Connexion SSE,Se connecter à /events/stream pour recevoir les events temps réel. **Critères:** SSE connecté,Étape 11 – Interface Admin Complète,À faire,Low,2,frontend,apps/admin,23,
Sub-task,Toasts notifications,Afficher des toasts pour les événements importants. **Lib:** Sonner. **Critères:** Toasts visibles,Étape 11 – Interface Admin Complète,À faire,Low,2,frontend,apps/admin,23,
Sub-task,Centre de notifications,"Créer un centre de notifications (icône bell). **Critères:** Liste des notifs, mark as read",Étape 11 – Interface Admin Complète,À faire,Low,1,frontend,apps/admin,23,
Task,11.5 Tests E2E admin,Créer des tests E2E pour valider les principaux parcours admin. **Lib:** Playwright,Étape 11 – Interface Admin Complète,À faire,High,8,frontend tests,apps/admin,23,11.1
Sub-task,Tests authentification,Tester le flux de connexion/déconnexion. **Critères:** 3+ tests passants,Étape 11 – Interface Admin Complète,À faire,Low,2,frontend tests,apps/admin,23,
Sub-task,Tests CRUD utilisateurs,Tester la création/édition/suppression d'utilisateurs. **Critères:** CRUD complet testé,Étape 11 – Interface Admin Complète,À faire,Low,2,frontend tests,apps/admin,23,
Sub-task,Tests intégrations,Tester la connexion d'une intégration. **Critères:** Flux OAuth testé,Étape 11 – Interface Admin Complète,À faire,Low,2,frontend tests,apps/admin,23,
Sub-task,Tests webhooks,Tester la création et le test d'un webhook. **Critères:** Webhook créé et testé,Étape 11 – Interface Admin Complète,À faire,Low,2,frontend tests,apps/admin,23,
Epic,Étape 12 – Sécurité, Observabilité et CI/CD,"Industrialiser la plateforme avec MFA, monitoring, scans sécurité et CI/CD complet.,",À faire,High,,,security devops,0,
Task,12.1 MFA et rotation secrets,Mettre en place la double authentification et la rotation des secrets critiques.,"Étape 12 – Sécurité, Observabilité et CI/CD",À faire,High,8,security backend,apps/api,24,2.5
